,word,score
0,Trying,-1.0036276421181871
1,to,-0.4326220956710934
2,make,-0.4359961765988728
3,head,0.024627950289879703
4,or,-1.1137660546373769
5,tail,-1.0061319886647921
6,of,0.040344096200078186
7,the,-0.19781302238899107
8,story,0.19520255343449006
9,in,0.031263022439956
10,hip-hop,0.09734818754300337
11,indie,-0.3502970740632031
12,Snipes,0.39963908182374974
13,is,0.25234919333647704
14,enough,0.3534273390063911
15,give,0.38203594505090255
16,you,-0.49573860382716245
17,brain,-0.2453853300496573
18,strain,-0.9888276884336257
19,--,-0.32086320531543316
20,and,0.1516429549835494
21,pay-off,-0.7278233326069452
22,negligible,-1.980703718996819
23,.,-0.1775863067030764
24,But,-1.130041738089111
25,it,-0.24368618738390924
26,was,-0.7274690141568467
27,n't,-2.028009033380742
28,The,-0.5135984150718973
29,line,-0.23572559726288603
30,may,-1.3225213664507187
31,be,-1.3435212120190565
32,127,2.270995466056694
33,years,0.673224164840811
34,old,-1.3523256706652809
35,",",0.5626041700517088
36,but,-1.2818692572884627
37,El,-1.10469507988253
38,Crimen,-0.7235622803018288
39,del,1.99701182337733
40,Padre,-0.2038891026083069
41,Amaro,0.551658807124267
42,...,-1.246762625583463
43,could,-0.9611670928143708
44,more,-0.45656372816829555
45,timely,3.6905237363577124
46,its,-0.4103441520360859
47,despairing,1.6930279520121694
48,vision,2.764690818566005
49,corruption,-1.6043299660484964
50,within,1.428294886202811
51,Catholic,0.7138087689622943
52,establishment,3.460071600302431
53,And,0.3355291523495316
54,neither,-1.856981962967889
55,do,-0.8033062216600365
56,cliches,-1.3154264277574035
57,no,-1.2101869157327654
58,matter,-0.3987635525766994
59,how,-0.09008477429422666
60,`,-0.8023218843283986
61,inside,0.9585453157734521
62,',-0.44995755505211077
63,they,0.3054349107280194
64,are,0.3734168575400445
65,Instead,0.8432121043618008
66,simply,-0.5256488341253863
67,handling,2.833739777984287
68,conventional,-0.7886912143265057
69,material,0.11092856125435016
70,a,0.7764653632468381
71,way,-0.35076697122318906
72,Secretary,2.9628621201102643
73,takes,0.392644250632216
